no,hanja,reading,meaning_ko,category,confidence,source_count,sources,note
1,㜯,희,"a word to designate woman, a word of revile used to call a woman",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: revile
2,㤞,탁,"disappointed; to fail in attaining one's purpose; to be disappointed in attaining the ambitions, to be surprised; to be amazed; to marvel, to think; to consider; to ponder; to contemplate, to expect or hope with eagerness, a credit, straightforward; faithful and upright, to reprimand; to discipline; to punish",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: punish
3,㦥,헌,"(same as 愋) talented; intelligent; wise wisdom; knowledge, to resent; to hate, to regret",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: resent
4,䑃,몽,"dim moon, dark; obscure, stupid; ignorant, to cheat; to hide the truth, to cover up; to hide, plump; fleshy",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: cheat
5,䚟,대,"horns, middle of the horn, (same as 歹) bad; wicked; depraved; vicious",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: wicked
6,䛆,주,(same as 咒) to curse; to swear,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: curse
7,䛲,면,"(same as 謾) to deceive, to scorn; to disdain",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: deceive
8,䜅,유,"to follow; to comply with, to refute; to rebuke; to accuse",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: rebuke
9,仇,구,"enemy, hate, hatred, enmity",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: hatred
10,佹,궤,depend upon; support; go against; (variant deceive),뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: deceive
11,僕,복,"slave, servant, I",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: slave
12,刖,월,cutting off feet as form of punishment,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: punishment
13,刦,겁,"take by force, coerce; disaster",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: disaster
14,刧,겁,"disaster, misfortune; coerce",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: disaster
15,剽,표,"rob, plunder; slice off; fast",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: rob
16,劫,겁,"take by force, coerce; disaster",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: disaster
17,勦,초,"destroy, exterminate, annihilate",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: destroy
18,匶,구,a coffin containing a corpse,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: corpse
19,呪,주,"curse, damn, incantation",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: curse
20,呰,자,"to slander, revile",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: revile
21,哄,홍,"coax; beguile, cheat, deceive",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: deceive
22,唼,삽,speaking evil; gobbling sound made by ducks,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: evil
23,啀,애,"gnaw; (Cant.) to shout, yell, scold",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: scold
24,啄,탁,to peck; (Cant.) to slander,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: slander
25,嗑,합,eat seeds; reproach; loquacious,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: reproach
26,囮,와,"inveigle, decoy; cheat",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: cheat
27,囹,령/영,"prison, enclosure",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: prison
28,壓,압,press; oppress; crush; pressure,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: oppress
29,夭,요,"young, fresh-looking; die young",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: die
30,奪,탈,"take by force, rob, snatch",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: rob
31,媟,설,"lust after, act indecently; lewd",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: lewd
32,孼,얼,"misfortune; sin, evil",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: evil
33,尅,극,"subdue, destroy, overcome",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: destroy
